Page URL,Viewport Image File Name,Image File Name,Alt Text
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_10.png,Indian_student_hospitalised_after_accident__MEA_takes_up_matter_with_US_for_early_grant_of_visa_to_Neelam_Shinde_s_family_10.png,Indian student hospitalised after accident: MEA takes up matter with US for early grant of visa to Neelam Shinde's family
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_13.png,notext_13.png,notext
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_14.png,notext_14.png,notext
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_15.png,notext_15.png,notext
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_21.png,Dealing_with_high_low_uric_acid__7_morning_habits_to_keep_it_in_a_safe_range_21.png,Dealing with high/low uric acid: 7 morning habits to keep it in a safe range
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_22.png,From_a_high-end_car_worth_Rs_1.2_cr__watch_worth_Rs_80_lakhs_to_a_luxurious_house_in_Mumbai__Lavish_lifestyle_of_Laughter_Chefs_2_s_Rahul_Vaidya_22.png,"From a high-end car worth Rs 1.2 cr, watch worth Rs 80 lakhs to a luxurious house in Mumbai; Lavish lifestyle of Laughter Chefs 2’s Rahul Vaidya"
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_23.png,6_reasons_to_chew_Cloves_after_meals_23.png,6 reasons to chew Cloves after meals
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_24.png,_5_Indian_foods_that_naturally_contain_vitamin_D__24.png,​5 Indian foods that naturally contain vitamin D​
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_25.png,6_benefits_of_drinking_ginger-turmeric_tea_in_the_morning_25.png,6 benefits of drinking ginger-turmeric tea in the morning
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_26.png,Detox_and_deep_clean_your_mind_in_just_7_steps_26.png,Detox and deep clean your mind in just 7 steps
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_27.png,6_common_daily_habits_that_can_weaken_memory_27.png,6 common daily habits that can weaken memory
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_28.png,Celebrity_Masterchef__From_opening_up_about_his_colour_blindness_to_saving_Usha_Nadkarni_from_elimination__Top_8_moments_from_Gaurav_Khanna_s_journey_28.png,Celebrity Masterchef: From opening up about his colour blindness to saving Usha Nadkarni from elimination: Top 8 moments from Gaurav Khanna's journey
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_31.png,Trump_s_Ukraine_Shake-up_Plan__Damning_Report__Leaks__U.S__Backchannel_Talks_With_Zelensky_s_Rivals_31.png,Trump’s Ukraine Shake-up Plan: Damning Report ‘Leaks’ U.S’ Backchannel Talks With Zelensky’s Rivals
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,viewport_32.png,Khalistani_Extremists_Breach_Security_At_EAM_S_Jaishankar_s_London_Event__India_Fumes___Watch_32.png,"Khalistani Extremists Breach Security At EAM S Jaishankar’s London Event, India Fumes | Watch"
