URL,Folder Name,Number of Images
https://id-nonprod.motabilityoperations.co.uk/mfldirect/login,id-nonprod.motabilityoperations.co.uk_mfldirect_login,5
https://www.salliemae.com/,www.salliemae.com_,6
https://www.americantinceilings.com/,www.americantinceilings.com_,1
https://gsilva.pt/gallery/215-2/,gsilva.pt_gallery_215-2_,14
https://roundtriphealth.com/,roundtriphealth.com_,29
https://cleartax.in/,cleartax.in_,125
https://www.elio-systems.com/,www.elio-systems.com_,60
https://mygemma.com/,mygemma.com_,197
https://www.proximus.be/en/packs,www.proximus.be_en_packs,3
https://www.stagefright.cc/,www.stagefright.cc_,18
https://sailracing.com/re/en/category/men,sailracing.com_re_en_category_men,24
https://www.hyundai.com/in/en,www.hyundai.com_in_en,131
https://www.breuninger.com/de/marken/charlotte-tilbury/hollywood-complexion-brush/1000899777/p/,www.breuninger.com_de_marken_charlotte-tilbury_hollywood-complexion-brush_1000899777_p_,31
https://otamakirkpinar.com/,otamakirkpinar.com_,40
https://www.ungalmart.com/uat/customer/index.php,www.ungalmart.com_uat_customer_index.php,45
https://www.browserstack.com/docs/live,www.browserstack.com_docs_live,3
https://www.bockhorni-verleih.de/mietpark/ruettelplatten/ruettelplatte-390-kg/,www.bockhorni-verleih.de_mietpark_ruettelplatten_ruettelplatte-390-kg_,16
https://www.coursera.org/en-IN,www.coursera.org_en-IN,119
https://playrix.com/games,playrix.com_games,15
https://www.dv01.co/resources/press/dv01-expands-data-transparency-in-u-s-residential-mortgage-loans-via-new/,www.dv01.co_resources_press_dv01-expands-data-transparency-in-u-s-residential-mortgage-loans-via-new_,5
https://www.firstcry.com/,www.firstcry.com_,40
https://www.alibaba.com/,www.alibaba.com_,162
https://www.flipkart.com/,www.flipkart.com_,67
https://www.lenskart.com/,www.lenskart.com_,114
https://www.wellsfargo.com/biz/merchant/payment-processing-options/clover-station-solo/,www.wellsfargo.com_biz_merchant_payment-processing-options_clover-station-solo_,14
https://www.iima.ac.in/,www.iima.ac.in_,35
https://olisclarity.com/,olisclarity.com_,17
https://www.westcare.com.au/,www.westcare.com.au_,19
https://paytm.com/,paytm.com_,29
https://www.lambdatest.com/,www.lambdatest.com_,90
https://www.vedantu.com/,www.vedantu.com_,98
https://www.geeksforgeeks.org/courses?source=google&medium=cpc&device=c&keyword=geeksforgeeks&matchtype=p&campaignid=20039445781&adgroup=147845288105&gad_source=1&gclid=CjwKCAiAt4C-BhBcEiwA8Kp0CUV1fJnO9iO-i0dNTlrGiARqE93m0qf-Lou_NcM8cizVygv93o9PFxoCRg0QAvD_BwE,www.geeksforgeeks.org_courses?source=google&medium=cpc&device=c&keyword=geeksforgeeks&matchtype=p&campaignid=20039445781&adgroup=147845288105&gad_source=1&gclid=CjwKCAiAt4C-BhBcEiwA8Kp0CUV1fJnO9iO-i0dNTlrGiARqE93m0qf-Lou_NcM8cizVygv93o9PFxoCRg0QAvD_BwE,64
https://www.nawy.com/,www.nawy.com_,41
https://calendly.com/features/scheduling,calendly.com_features_scheduling,28
https://www.princess.com/en-us,www.princess.com_en-us,12
https://www.lambdatest.com/testmu,www.lambdatest.com_testmu,91
https://www.travomint.com/,www.travomint.com_,58
https://www.tanthetaa.com/evm/account-abstraction-erc-4337-development,www.tanthetaa.com_evm_account-abstraction-erc-4337-development,72
https://www.formula1.com/,www.formula1.com_,100
https://realthinktechnology.com/,realthinktechnology.com_,35
https://timesofindia.indiatimes.com/india/indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family/articleshow/118600224.cms,timesofindia.indiatimes.com_india_indian-student-in-coma-after-accident-mea-takes-up-matter-with-us-for-early-grant-of-visa-to-neelam-shindes-family_articleshow_118600224.cms,14
https://qafco.symmetrydigital-labs.com/en/,qafco.symmetrydigital-labs.com_en_,24
https://www.engineroomtech.com/services/custom-dev,www.engineroomtech.com_services_custom-dev,2
https://pack.stage.es/hotel/4337,pack.stage.es_hotel_4337,1
https://calendly.com/features/scheduling/appointments,calendly.com_features_scheduling_appointments,20
https://partners.lenskart.com/,partners.lenskart.com_,7
https://mygemma.com/products/z144413-cartier-burgundy-leather-must-de-cartier-top-handle-bag,mygemma.com_products_z144413-cartier-burgundy-leather-must-de-cartier-top-handle-bag,89
https://www.browserstack.com/docs/live/multi-device-testing/single-tab,www.browserstack.com_docs_live_multi-device-testing_single-tab,8
https://machinehack.com/hackathons,machinehack.com_hackathons,1
https://www.ceicdata.com/en,www.ceicdata.com_en,9
